Nome,advisor,link_adv
Loránd Eötvös,Hermann Helmholtz,https://en.wikipedia.org/wiki/Hermann_Helmholtz
Dmitri Mendeleev,Gustav Kirchhoff,https://en.wikipedia.org/wiki/Gustav_Kirchhoff
Imre Leader,Béla Bollobás,https://en.wikipedia.org/wiki/B%C3%A9la_Bollob%C3%A1s
Alfréd Haar,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Kwan-ichi Terazawa,Joseph Larmor,https://en.wikipedia.org/wiki/Joseph_Larmor
Clifford Hugh Dowker,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Charles Epstein,Peter Lax,https://en.wikipedia.org/wiki/Peter_Lax
Charles Epstein,William Thurston,https://en.wikipedia.org/wiki/William_Thurston
Ebenezer Laing,Ronald Fisher,https://en.wikipedia.org/wiki/Ronald_Fisher
Norman Shapiro,Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church
Haskell Curry,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Richard Palais,Andrew Gleason,https://en.wikipedia.org/wiki/Andrew_Gleason
Richard Palais,George Mackey,https://en.wikipedia.org/wiki/George_Mackey
Joseph Kruskal,Roger Lyndon,https://en.wikipedia.org/wiki/Roger_Lyndon
Joseph Kruskal,Paul Erdős,https://en.wikipedia.org/wiki/Paul_Erd%C5%91s
Alexander Weinstein,Rudolf Fueter,https://en.wikipedia.org/wiki/Rudolf_Fueter
Alexander Weinstein,Hermann Weyl,https://en.wikipedia.org/wiki/Hermann_Weyl
Isaac Barrow,James Duport,https://en.wikipedia.org/wiki/James_Duport
Gotthold Eisenstein,Ernst Eduard Kummer,https://en.wikipedia.org/wiki/Ernst_Eduard_Kummer
Gotthold Eisenstein,Nikolaus Wolfgang Fischer,https://en.wikipedia.org/wiki/Nikolaus_Wolfgang_Fischer
William Ramsay,Wilhelm Rudolph Fittig,https://en.wikipedia.org/wiki/Wilhelm_Rudolph_Fittig
Takahiko Yamanouchi,Kwan-ichi Terazawa,https://en.wikipedia.org/wiki/Kwan-ichi_Terazawa
Joseph O. Hirschfelder,Henry Eyring,https://en.wikipedia.org/wiki/Henry_Eyring_(chemist)
Joseph O. Hirschfelder,Eugene Wigner,https://en.wikipedia.org/wiki/Eugene_Wigner
Joseph O. Hirschfelder,Hugh Stott Taylor,https://en.wikipedia.org/wiki/Hugh_Stott_Taylor
Charles Glover Barkla,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Charles Glover Barkla,Oliver Lodge,https://en.wikipedia.org/wiki/Oliver_Lodge
Richard Garwin,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Robert Smith (mathematician),Roger Cotes,https://en.wikipedia.org/wiki/Roger_Cotes
Joseph L. Walsh,Maxime Bôcher,https://en.wikipedia.org/wiki/Maxime_B%C3%B4cher
Joseph L. Walsh,George David Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
Edwin Hewitt,Marshall Harvey Stone,https://en.wikipedia.org/wiki/Marshall_Harvey_Stone
Achilles Papapetrou,Paul Peter Ewald,https://en.wikipedia.org/wiki/Paul_Peter_Ewald
Achilles Papapetrou,Helmut Hönl,https://en.wikipedia.org/wiki/Helmut_H%C3%B6nl
Ádám Korányi,Marshall Stone,https://en.wikipedia.org/wiki/Marshall_Stone
John Greco (philosopher),Ernest Sosa,https://en.wikipedia.org/wiki/Ernest_Sosa
Hillel Furstenberg,Salomon Bochner,https://en.wikipedia.org/wiki/Salomon_Bochner
Georges Matheron,Paul Lévy,https://en.wikipedia.org/wiki/Paul_L%C3%A9vy_(mathematician)
Donald J. Newman,David Widder,https://en.wikipedia.org/wiki/David_Widder
Donald J. Newman,Joseph Leonard Walsh,https://en.wikipedia.org/wiki/Joseph_Leonard_Walsh
Johann Radon,Gustav Ritter von Escherich,https://en.wikipedia.org/wiki/Gustav_Ritter_von_Escherich
Gabriel Lippmann,Gustav Kirchhoff,https://en.wikipedia.org/wiki/Gustav_Kirchhoff
Gabriel Lippmann,Hermann von Helmholtz,https://en.wikipedia.org/wiki/Hermann_von_Helmholtz
Alfred North Whitehead,Edward Routh,https://en.wikipedia.org/wiki/Edward_Routh
Friedrich Hund,Max Born,https://en.wikipedia.org/wiki/Max_Born
Robert König,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Lawrence Bragg,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Lawrence Bragg,W. H. Bragg,https://en.wikipedia.org/wiki/William_Henry_Bragg
Barbara Liskov,John McCarthy,https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)
Sidney Dancoff,Robert Oppenheimer,https://en.wikipedia.org/wiki/Robert_Oppenheimer
William Edward Story,Carl Neumann,https://en.wikipedia.org/wiki/Carl_Neumann
William Edward Story,Wilhelm Scheibner,https://en.wikipedia.org/w/index.php?title=Wilhelm_Scheibner&action=edit&redlink=1
Herbert S. Green,Max Born,https://en.wikipedia.org/wiki/Max_Born
George Smoot,David H. Frisch,https://en.wikipedia.org/wiki/David_H._Frisch
Cathleen Synge Morawetz,Kurt Otto Friedrichs,https://en.wikipedia.org/wiki/Kurt_Otto_Friedrichs
Robert F. Christy,Robert Oppenheimer,https://en.wikipedia.org/wiki/Robert_Oppenheimer
Jerome Isaac Friedman,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Clarence Raymond Adams,G. D. Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
Karl Schwarzschild,Hugo von Seeliger,https://en.wikipedia.org/wiki/Hugo_von_Seeliger
Hassler Whitney,George David Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
Woldemar Voigt,Franz Ernst Neumann,https://en.wikipedia.org/wiki/Franz_Ernst_Neumann
Gary Gibbons,Dennis Sciama,https://en.wikipedia.org/wiki/Dennis_William_Sciama
Gary Gibbons,Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Carl S. Herz,Salomon Bochner,https://en.wikipedia.org/wiki/Salomon_Bochner
Manny Lehman (computer scientist),K. D. Tocher,https://en.wikipedia.org/wiki/K._D._Tocher
Wallie Abraham Hurwitz,David Hilbert,https://en.wikipedia.org/wiki/David_Hilbert
Władysław Orlicz,Eustachy Żyliński,https://en.wikipedia.org/wiki/Eustachy_%C5%BByli%C5%84ski
Władysław Orlicz,Hugo Steinhaus,https://en.wikipedia.org/wiki/Hugo_Steinhaus
Marshall H. Stone,G. D. Birkhoff,https://en.wikipedia.org/wiki/George_David_Birkhoff
John David Jackson (physicist),Victor Frederick Weisskopf,https://en.wikipedia.org/wiki/Victor_Frederick_Weisskopf
Francis William Aston,Percy F. Frankland,https://en.wikipedia.org/wiki/Percy_F._Frankland
Francis William Aston,citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Francis William Aston,J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Francis William Aston,John Henry Poynting,https://en.wikipedia.org/wiki/John_Henry_Poynting
Francis William Aston,William A. Tilden,https://en.wikipedia.org/wiki/William_A._Tilden
Norman Steenrod,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Marcel Grossmann,Wilhelm Fiedler,https://en.wikipedia.org/wiki/Wilhelm_Fiedler
Shaun Wylie,Solomon Lefschetz,https://en.wikipedia.org/wiki/Solomon_Lefschetz
Yuval Peres,Hillel Furstenberg,https://en.wikipedia.org/wiki/Hillel_Furstenberg
E. H. Moore,Hubert Anson Newton,https://en.wikipedia.org/wiki/Hubert_Anson_Newton
