Nome,student,link_std
Max Born,Enrico Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi
Max Born,Huang Kun,https://en.wikipedia.org/wiki/Huang_Kun
Max Born,Emil Wolf,https://en.wikipedia.org/wiki/Emil_Wolf
Dennis W. Sciama,John D. Barrow,https://en.wikipedia.org/wiki/John_D._Barrow
Dennis W. Sciama,James Binney,https://en.wikipedia.org/wiki/James_Binney
Dennis W. Sciama,Philip Candelas,https://en.wikipedia.org/wiki/Philip_Candelas
Dennis W. Sciama,Brandon Carter,https://en.wikipedia.org/wiki/Brandon_Carter
Dennis W. Sciama,David Deutsch,https://en.wikipedia.org/wiki/David_Deutsch
Dennis W. Sciama,George Ellis,https://en.wikipedia.org/wiki/George_Francis_Rayner_Ellis
Dennis W. Sciama,Gary Gibbons,https://en.wikipedia.org/wiki/Gary_Gibbons
Dennis W. Sciama,Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking
Dennis W. Sciama,Adrian Melott,https://en.wikipedia.org/wiki/Adrian_Melott
Dennis W. Sciama,Martin Rees,https://en.wikipedia.org/wiki/Martin_Rees
Dennis W. Sciama,Antony Valentini,https://en.wikipedia.org/wiki/Antony_Valentini
Dennis W. Sciama,Tim Palmer,https://en.wikipedia.org/wiki/Tim_Palmer_(physicist)
Dennis W. Sciama,citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
Frederick Mosteller,Persi Diaconis,https://en.wikipedia.org/wiki/Persi_Diaconis
Frederick Mosteller,Stephen Fienberg,https://en.wikipedia.org/wiki/Stephen_Fienberg
Frederick Mosteller,Stanley Wasserman,https://en.wikipedia.org/wiki/Stanley_Wasserman
Martin Rees,Roger Blandford,https://en.wikipedia.org/wiki/Roger_Blandford
Martin Rees,Craig Hogan,https://en.wikipedia.org/wiki/Craig_Hogan
Martin Rees,Priyamvada Natarajan,https://en.wikipedia.org/wiki/Priyamvada_Natarajan
Martin Rees,James E. Pringle,https://en.wikipedia.org/wiki/James_E._Pringle
Martin Rees,Nick Kaiser,https://en.wikipedia.org/wiki/Nick_Kaiser
Kurt Gottfried,John C. Reynolds,https://en.wikipedia.org/wiki/John_C._Reynolds
Joseph Larmor,Kwan-ichi Terazawa,https://en.wikipedia.org/wiki/Kwan-ichi_Terazawa
Martin Davis (mathematician),Moshe Koppel,https://en.wikipedia.org/wiki/Moshe_Koppel
Martin Davis (mathematician),Donald W. Loveland,https://en.wikipedia.org/wiki/Donald_W._Loveland
Alfred Kleiner,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
David H. Frisch,George Smoot,https://en.wikipedia.org/wiki/George_Smoot
Paul Halmos,Errett Bishop,https://en.wikipedia.org/wiki/Errett_Bishop
Paul Halmos,Bernard Galler,https://en.wikipedia.org/wiki/Bernard_Galler
Paul Halmos,Donald Sarason,https://en.wikipedia.org/wiki/Donald_Sarason
