Nome,Ano_Nasc,Pais,Campo_Principal,link
Tim Palmer (physicist),1952.0,England,Physics,https://en.wikipedia.org/wiki/Tim_Palmer_(physicist)
Solomon Lefschetz,1884.0,Russian Empire,Algebraic topology,https://en.wikipedia.org/wiki/Solomon_Lefschetz
James Jurin,1684.0,England,Scientist and physician,https://en.wikipedia.org/wiki/James_Jurin
Arthur P. Dempster,1929.0,Born1929 (age 93–94),Statistics,https://en.wikipedia.org/wiki/Arthur_P._Dempster
Walter Bodmer,1936.0,Nazi Germany,Statistics,https://en.wikipedia.org/wiki/Walter_Bodmer
Edwin Thompson Jaynes,1922.0,Iowa,Physicist,https://en.wikipedia.org/wiki/Edwin_Thompson_Jaynes
Émile Henriot (chemist),1885.0,France,Chemistry,https://en.wikipedia.org/wiki/%C3%89mile_Henriot_(chemist)
John McCarthy (computer scientist),1927.0,U.S.,Computer science,https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)
Persi Diaconis,1945.0,US,Mathematical statistics,https://en.wikipedia.org/wiki/Persi_Diaconis
John Bardeen,1908.0,U.S.,Physics,https://en.wikipedia.org/wiki/John_Bardeen
Nicolas Fuss,1755.0,Switzerland,Mathematics,https://en.wikipedia.org/wiki/Nicolas_Fuss
Moritz Abraham Stern,1807.0,Born(1807-06-29)29 June 1807Frankfurt,Mathematics,https://en.wikipedia.org/wiki/Moritz_Stern
K. D. Tocher,1921.0,Born19 March 1921[2][1],computer simulation,https://en.wikipedia.org/wiki/K._D._Tocher
John Wishart (statistician),1898.0,Scotland,computer simulation,https://en.wikipedia.org/wiki/John_Wishart_(statistician)
Johann Friedrich Pfaff,1765.0,Holy Roman Empire,Mathematics,https://en.wikipedia.org/wiki/Johann_Pfaff
George David Birkhoff,1884.0,Michigan,Mathematics,https://en.wikipedia.org/wiki/George_David_Birkhoff
J. Robert Oppenheimer,1904.0,U.S.,Theoretical physics,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
George F. R. Ellis,1939.0,South Africa,Cosmology,https://en.wikipedia.org/wiki/George_Francis_Rayner_Ellis
Sam Treiman,1925.0,United States,Physics,https://en.wikipedia.org/wiki/Sam_Treiman
George Logemann,1938.0,1938Milwaukee,Computer science,https://en.wikipedia.org/wiki/George_Logemann
Ami Harten,1946.0,Born1946[1],Applied Mathematics,https://en.wikipedia.org/wiki/Ami_Harten
Jack Steinberger,1921.0,Germany,Particle physics,https://en.wikipedia.org/wiki/Jack_Steinberger
Samuel S. Wilks,1906.0,Texas,Mathematical statistics,https://en.wikipedia.org/wiki/Samuel_S._Wilks
Hans Hahn (mathematician),1879.0,Austria-Hungary,Mathematician,https://en.wikipedia.org/wiki/Hans_Hahn_(mathematician)
Stephen L. Adler,1939.0,Born (1939-11-30) 30 November 1939 (age 83)New York City,Physicist,https://en.wikipedia.org/wiki/Stephen_L._Adler
Allan Hazlett,1939.0,Born (1939-11-30) 30 November 1939 (age 83)New York City,Physicist,https://en.wikipedia.org/wiki/Allan_Hazlett
Béla Bollobás,1943.0,Hungary,Mathematics,https://en.wikipedia.org/wiki/B%C3%A9la_Bollob%C3%A1s
Edward Routh,1831.0,Canada,Mathematician,https://en.wikipedia.org/wiki/Edward_Routh
William Whiston,1667.0,England,Mathematics,https://en.wikipedia.org/wiki/William_Whiston
Douglas Hartree,1897.0,UK,numerical analysis,https://en.wikipedia.org/wiki/Douglas_Hartree
Charlotte Froese Fischer,1897.0,UK,numerical analysis,https://en.wikipedia.org/wiki/Charlotte_Froese_Fischer
Leo Breiman,1928.0,U.S.,Statistics,https://en.wikipedia.org/wiki/Leo_Breiman
Keith Martin Ball,1960.0,BornKeith Martin Ball (1960-12-26) 26 December 1960 (age 62)[2]New York City[2],Functional analysis,https://en.wikipedia.org/wiki/Keith_Martin_Ball
George Mackey,1916.0,Missouri,Functional analysis,https://en.wikipedia.org/wiki/George_Whitelaw_Mackey
Mordecai Cary,1687.0,Born(1687-08-07)7 August 1687,Functional analysis,https://en.wikipedia.org/wiki/Mordecai_Cary
Salomon Bochner,1899.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Salomon_Bochner
Paul Peter Ewald,1888.0,Germany,Mathematics,https://en.wikipedia.org/wiki/Paul_Peter_Ewald
Veronica van Heyningen,1946.0,Hungary,Human genetics,https://en.wikipedia.org/wiki/Veronica_van_Heyningen
Wilhelm Fiedler,1832.0,Born(1832-04-03)3 April 1832Chemnitz,Mathematics,https://en.wikipedia.org/wiki/Otto_Wilhelm_Fiedler
David Bohm,1917.0,US,Theoretical physics,https://en.wikipedia.org/wiki/David_Bohm
